date,metric_0,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,metric_31,metric_32,metric_33,metric_34,metric_35,metric_36,metric_37,metric_38,metric_39,metric_40,metric_41,metric_42,metric_43,metric_44,metric_45,metric_46,metric_47,metric_48,metric_49,metric_50,metric_51
2022-02-25 15:26:58 UTC,7.9,36.6,40.0,1.0,0.0,0.0,28.8,32.1,0.0,19.0,1.0,0.0,32.0,25.1,8.0,0.0,8.0,0.0,0.0,8.0,1.0,36.6,40.0,35.0,0.0,102.1,120.0,120.0,0.0,0.0,0.0,99.0,110.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:27:58 UTC,7.9,36.8,40.0,1.0,0.0,0.0,28.8,32.1,0.0,19.0,1.0,0.0,32.0,25.1,8.0,0.0,8.0,0.0,0.0,8.0,1.0,36.8,40.0,35.0,0.0,148.6,120.0,120.0,0.0,0.0,0.0,100.0,110.3,120.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:28:58 UTC,7.9,37.0,40.0,1.0,0.0,0.0,28.7,32.1,0.0,19.0,1.0,0.0,32.0,25.0,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.0,40.0,35.0,0.0,195.7,120.0,120.0,0.0,0.0,0.0,100.0,108.7,120.0,3.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:29:58 UTC,7.9,37.2,40.0,1.0,0.0,0.0,28.7,32.1,0.0,19.0,1.0,0.0,32.0,25.0,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.2,40.0,35.0,0.0,234.5,120.0,120.0,0.0,0.0,0.0,100.0,109.6,120.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:30:58 UTC,7.9,37.3,40.0,1.0,0.0,0.0,28.8,32.1,0.0,19.0,1.0,0.0,32.0,24.9,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.3,40.0,35.0,0.0,255.5,120.0,120.0,0.0,0.0,0.0,100.0,108.6,120.0,3.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:31:58 UTC,7.9,37.4,40.0,1.0,0.0,0.0,28.8,32.1,0.0,19.0,1.0,0.0,32.0,24.9,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.4,40.0,35.0,0.0,263.9,120.0,120.0,0.0,0.0,0.0,100.0,110.3,120.0,3.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:32:58 UTC,8.0,37.5,40.0,1.0,0.0,0.0,28.8,32.0,0.0,19.0,1.0,0.0,32.0,24.8,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.5,40.0,35.0,78.0,255.4,307.1,820.0,37.41,80.0,0.0,72.0,98.8,90.0,4.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:33:58 UTC,8.0,37.6,40.0,1.0,0.0,0.0,28.8,32.0,0.0,19.0,1.0,0.0,32.0,24.8,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.6,40.0,35.0,78.0,282.3,386.5,820.0,40.85,80.0,0.0,69.0,90.9,90.0,4.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:34:58 UTC,8.0,38.3,40.0,1.0,0.0,0.0,28.8,32.0,0.0,19.0,1.0,0.0,32.0,24.7,8.0,0.0,8.0,0.0,0.0,8.0,1.0,38.3,40.0,35.0,74.0,373.5,452.4,810.0,38.82,80.0,0.0,70.0,88.6,87.0,4.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:35:58 UTC,8.0,39.1,40.0,1.0,0.0,0.0,28.9,32.0,0.0,19.0,1.0,1.0,32.0,24.6,8.0,0.0,8.0,0.0,0.0,8.0,1.0,39.1,40.0,35.0,70.0,482.5,506.6,800.0,34.86,80.0,0.0,69.0,87.2,84.0,4.0,0.0,0.0,0.0,0.0,0.0,87.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:36:58 UTC,8.0,40.0,40.0,1.0,0.0,0.0,29.1,32.0,0.0,19.0,1.0,1.0,32.0,24.6,8.0,0.0,8.0,0.0,0.0,8.0,1.0,40.0,40.0,35.0,66.0,548.6,552.1,790.0,31.67,80.0,0.0,68.0,82.9,82.0,4.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:37:58 UTC,8.0,40.8,40.0,1.0,0.0,0.0,29.5,32.0,0.0,19.0,1.0,1.0,32.0,24.6,8.0,0.0,8.0,0.0,0.0,8.0,1.0,40.8,40.0,35.0,66.0,587.4,588.3,790.0,31.56,80.0,0.0,67.0,82.9,82.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:38:58 UTC,8.0,41.4,40.0,1.0,0.0,0.0,30.0,32.0,0.0,19.0,1.0,1.0,32.0,24.5,8.0,0.0,8.0,0.0,0.0,8.0,1.0,41.4,40.0,35.0,62.0,596.4,617.9,780.0,30.03,80.0,0.0,65.0,79.1,79.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:39:58 UTC,8.0,41.8,40.0,1.0,0.0,0.0,30.6,32.0,0.0,19.0,1.0,1.0,32.0,24.5,8.0,0.0,8.0,0.0,0.0,8.0,1.0,41.8,40.0,35.0,62.0,596.5,643.2,780.0,31.59,80.0,0.0,65.0,79.2,79.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:40:58 UTC,8.0,42.2,40.0,1.0,0.0,0.0,31.3,32.0,0.0,19.0,1.0,1.0,32.0,24.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,42.2,40.0,35.0,54.0,608.7,660.1,740.0,25.55,80.0,0.0,60.0,75.3,73.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:41:58 UTC,8.0,42.5,40.0,1.0,0.0,0.0,32.0,32.0,0.0,19.0,1.0,0.0,32.0,24.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,42.5,40.0,35.0,54.0,611.9,672.4,740.0,26.79,80.0,0.0,60.0,73.0,73.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:42:58 UTC,8.0,42.8,40.0,1.0,0.0,0.0,32.4,32.0,0.0,19.0,1.0,0.0,32.0,24.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,42.8,40.0,35.0,54.0,608.9,682.7,740.0,28.35,80.0,0.0,60.0,74.1,73.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:43:58 UTC,8.0,43.1,40.0,1.0,0.0,0.0,32.9,32.0,0.0,19.0,1.0,0.0,32.0,24.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,43.1,40.0,35.0,50.0,608.9,690.4,720.0,26.39,80.0,0.0,58.0,70.3,70.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:44:58 UTC,8.0,43.5,40.0,1.0,0.0,0.0,33.3,32.0,0.0,19.0,1.0,-1.0,32.0,24.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,43.5,40.0,35.0,50.0,615.0,694.9,720.0,27.55,80.0,0.0,58.0,70.2,70.0,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:45:58 UTC,8.0,43.9,40.0,1.0,0.0,0.0,33.7,32.0,0.0,19.0,1.0,-1.0,32.0,24.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,43.9,40.0,35.0,50.0,626.4,698.7,720.0,28.42,80.0,0.0,58.0,71.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:46:58 UTC,8.0,44.4,40.0,1.0,0.0,0.0,33.7,32.0,0.0,19.0,1.0,-1.0,32.0,24.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,44.4,40.0,35.0,42.0,635.3,697.9,690.0,18.2,80.0,0.0,53.0,66.6,65.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:47:58 UTC,8.0,44.9,40.0,1.0,0.0,0.0,33.5,32.0,0.0,19.0,1.0,-1.0,32.0,24.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,44.9,40.0,35.0,42.0,633.2,696.7,690.0,18.2,80.0,0.0,53.0,65.4,65.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:48:58 UTC,8.0,45.4,40.0,1.0,0.0,0.0,33.0,32.0,0.0,19.0,1.0,-1.0,32.0,24.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,45.4,40.0,35.0,38.0,612.8,694.3,680.0,15.6,80.0,0.0,51.0,65.0,64.0,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:49:58 UTC,8.0,46.0,40.0,1.0,0.0,0.0,32.5,32.0,0.0,19.0,1.0,0.0,32.0,24.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,46.0,40.0,35.0,30.0,601.1,691.4,630.0,10.4,80.0,0.0,51.0,64.9,63.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:50:58 UTC,8.0,46.7,40.0,1.0,0.0,0.0,32.2,32.0,0.0,19.0,1.0,0.0,32.0,24.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,46.7,40.0,35.0,30.0,596.9,681.9,630.0,10.4,80.0,0.0,51.0,63.9,63.0,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:51:58 UTC,8.0,47.2,40.0,1.0,0.0,0.0,32.1,32.0,0.0,19.0,1.0,0.0,32.0,24.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,47.2,40.0,35.0,30.0,583.6,674.0,630.0,10.39,80.0,0.0,50.0,63.8,63.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
